loc
"116.321752118,40.0511556711"
"116.321755458,40.0511540106"
"116.321763812,40.0511706937"
"116.321775508,40.0511957167"
"116.321765487,40.0512090322"
"116.321760477,40.0512106897"
"116.321755465,40.0512040133"
"116.321733747,40.0511756382"
"116.321718713,40.0511672765"
"116.321707022,40.0511805889"
"116.321703683,40.0511972503"
"116.321703685,40.0512072508"
"116.321697003,40.0512039049"
"116.321675287,40.0511888638"
"116.321668605,40.0511855179"
"116.321678625,40.0511738692"
"116.321681965,40.0511638748"
"116.321676951,40.0511388642"
"116.321678618,40.0511121991"
"116.321675275,40.0510938586"
"116.321663579,40.0510671688"
"116.321650214,40.0510521432"
"116.321620143,40.0510104185"
"116.321600095,40.0509787129"
"116.321581718,40.0509486772"
"116.321565011,40.0509253116"
"116.321544965,40.0509036066"
"116.321524919,40.0508869019"
"116.321523249,40.0508918991"
"116.321528261,40.0508985754"
"116.32152659,40.050893572"
"116.321514897,40.0508935504"
"116.321494852,40.0508851794"
"116.321493182,40.0508851764"
"116.321496521,40.0508718485"
"116.321488168,40.0508618325"
